Topic,Stance,Argument
Aumento de impuestos,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
ClonaciÃ³n animal/humana,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that animal/human cloning is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Animal/human cloning is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""character attack premise"": ""Persons who advocate for research in artificial intelligence are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for research in artificial intelligence should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
EnergÃ­a nuclear,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that nuclear energy is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Nuclear energy can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Uso de redes sociales en lÃ­nea,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that use of online social networks is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Use of online social networks can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Control de armas,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that gun control should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Gun control should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
PensiÃ³n bÃ¡sica universal,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that universal basic pension is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Universal basic pension can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Cuotas de gÃ©nero,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that gender quotas undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that gender quotas undermines the value of human life."",
  ""conclusion"": ""Gender quotas undermines the value of human life.""
}"
ManipulaciÃ³n genÃ©tica,a favor,"{
  ""character attack premise"": ""Persons who advocate for genetic manipulation are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for genetic manipulation should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
ReducciÃ³n de la jornada laboral,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for reduction in working time should not be accepted.""
}"
Trabajo remoto,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that remote work undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that remote work undermines the value of human life."",
  ""conclusion"": ""Remote work undermines the value of human life.""
}"
Aumento de la seguridad sacrificando la privacidad individual,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for increasing security by sacrificing individual privacy should not be accepted.""
}"
Criptomonedas,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that cryptocurrencies is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Cryptocurrencies can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Censura en redes sociales,a favor,"{
  ""character attack premise"": ""Persons who advocate for censorship in social networks are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for censorship in social networks should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Terraplanismo,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for terraplanism should not be accepted.""
}"
EnergÃ­a renovable,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that renewable energy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that renewable energy undermines the value of human life."",
  ""conclusion"": ""Renewable energy undermines the value of human life.""
}"
Transporte elÃ©ctrico,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that electric transport is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Electric transport can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Eutanasia,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that euthanasia is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Euthanasia can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
VacunaciÃ³n obligatoria en pandemia,a favor,"{
  ""character attack premise"": ""Persons who advocate for mandatory vaccination in pandemic are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for mandatory vaccination in pandemic should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Apariencia fÃ­sica para el Ã©xito personal,a favor,"{
  ""character attack premise"": ""Persons who advocate for physical appearance for personal success are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for physical appearance for personal success should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Ayuno intermitente,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that intermittent fasting should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Intermittent fasting should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Pena de muerte,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that capital punishment should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Capital punishment should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
ExperimentaciÃ³n con animales,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for animal testing should not be accepted.""
}"
Cambio climÃ¡tico,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that climate change undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that climate change undermines the value of human life."",
  ""conclusion"": ""Climate change undermines the value of human life.""
}"
LegalizaciÃ³n de la cannabis,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for legalisation of cannabis should not be accepted.""
}"
Aborto,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Libertad de expresiÃ³n,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that freedom of speech should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Freedom of speech should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Aumento de impuestos,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
ClonaciÃ³n animal/humana,a favor,"{
  ""character attack premise"": ""Persons who advocate for animal/human cloning are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal/human cloning should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""character attack premise"": ""Persons who advocate for research in artificial intelligence are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for research in artificial intelligence should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
EnergÃ­a nuclear,a favor,"{
  ""character attack premise"": ""Persons who advocate for nuclear energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for nuclear energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Uso de redes sociales en lÃ­nea,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that use of online social networks undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that use of online social networks undermines the value of human life."",
  ""conclusion"": ""Use of online social networks undermines the value of human life.""
}"
Control de armas,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gun control is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gun control is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
PensiÃ³n bÃ¡sica universal,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that universal basic pension is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Universal basic pension can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Cuotas de gÃ©nero,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gender quotas is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gender quotas is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
ManipulaciÃ³n genÃ©tica,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that genetic manipulation undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that genetic manipulation undermines the value of human life."",
  ""conclusion"": ""Genetic manipulation undermines the value of human life.""
}"
ReducciÃ³n de la jornada laboral,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Trabajo remoto,a favor,"{
  ""character attack premise"": ""Persons who advocate for remote work are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for remote work should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Aumento de la seguridad sacrificando la privacidad individual,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for increasing security by sacrificing individual privacy should not be accepted.""
}"
Criptomonedas,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that cryptocurrencies undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that cryptocurrencies undermines the value of human life."",
  ""conclusion"": ""Cryptocurrencies undermines the value of human life.""
}"
Censura en redes sociales,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that censorship in social networks undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that censorship in social networks undermines the value of human life."",
  ""conclusion"": ""Censorship in social networks undermines the value of human life.""
}"
Terraplanismo,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that terraplanism is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Terraplanism can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
EnergÃ­a renovable,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that renewable energy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Renewable energy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Transporte elÃ©ctrico,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that electric transport should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Electric transport should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Eutanasia,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that euthanasia is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Euthanasia can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
VacunaciÃ³n obligatoria en pandemia,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that mandatory vaccination in pandemic undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that mandatory vaccination in pandemic undermines the value of human life."",
  ""conclusion"": ""Mandatory vaccination in pandemic undermines the value of human life.""
}"
Apariencia fÃ­sica para el Ã©xito personal,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that physical appearance for personal success is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Physical appearance for personal success is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Ayuno intermitente,a favor,"{
  ""character attack premise"": ""Persons who advocate for intermittent fasting are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for intermittent fasting should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Pena de muerte,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that capital punishment should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Capital punishment should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
ExperimentaciÃ³n con animales,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for animal testing should not be accepted.""
}"
Cambio climÃ¡tico,a favor,"{
  ""character attack premise"": ""Persons who advocate for climate change are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for climate change should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
LegalizaciÃ³n de la cannabis,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that legalisation of cannabis is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Legalisation of cannabis is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Aborto,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that abortion is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Abortion can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Libertad de expresiÃ³n,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that freedom of speech is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Freedom of speech is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Aumento de impuestos,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that tax increase is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Tax increase can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ClonaciÃ³n animal/humana,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that animal/human cloning should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Animal/human cloning should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
InvestigaciÃ³n en inteligencia artificial,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for research in artificial intelligence should not be accepted.""
}"
EnergÃ­a nuclear,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that nuclear energy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Nuclear energy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Uso de redes sociales en lÃ­nea,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for use of online social networks should not be accepted.""
}"
Control de armas,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that gun control is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Gun control can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
PensiÃ³n bÃ¡sica universal,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that universal basic pension should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Universal basic pension should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Cuotas de gÃ©nero,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that gender quotas undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that gender quotas undermines the value of human life."",
  ""conclusion"": ""Gender quotas undermines the value of human life.""
}"
ManipulaciÃ³n genÃ©tica,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that genetic manipulation is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Genetic manipulation is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
ReducciÃ³n de la jornada laboral,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for reduction in working time should not be accepted.""
}"
Trabajo remoto,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for remote work should not be accepted.""
}"
Aumento de la seguridad sacrificando la privacidad individual,a favor,"{
  ""character attack premise"": ""Persons who advocate for increasing security by sacrificing individual privacy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for increasing security by sacrificing individual privacy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Criptomonedas,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that cryptocurrencies undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that cryptocurrencies undermines the value of human life."",
  ""conclusion"": ""Cryptocurrencies undermines the value of human life.""
}"
Censura en redes sociales,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that censorship in social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Censorship in social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Terraplanismo,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that terraplanism is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Terraplanism is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
EnergÃ­a renovable,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that renewable energy is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Renewable energy can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Transporte elÃ©ctrico,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for electric transport should not be accepted.""
}"
Eutanasia,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that euthanasia is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Euthanasia is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
VacunaciÃ³n obligatoria en pandemia,a favor,"{
  ""character attack premise"": ""Persons who advocate for mandatory vaccination in pandemic are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for mandatory vaccination in pandemic should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Apariencia fÃ­sica para el Ã©xito personal,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that physical appearance for personal success undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that physical appearance for personal success undermines the value of human life."",
  ""conclusion"": ""Physical appearance for personal success undermines the value of human life.""
}"
Ayuno intermitente,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that intermittent fasting is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Intermittent fasting is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Pena de muerte,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that capital punishment is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Capital punishment can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ExperimentaciÃ³n con animales,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that animal testing undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that animal testing undermines the value of human life."",
  ""conclusion"": ""Animal testing undermines the value of human life.""
}"
Cambio climÃ¡tico,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that climate change is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Climate change is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
LegalizaciÃ³n de la cannabis,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that legalisation of cannabis undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that legalisation of cannabis undermines the value of human life."",
  ""conclusion"": ""Legalisation of cannabis undermines the value of human life.""
}"
Aborto,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Libertad de expresiÃ³n,a favor,"{
  ""character attack premise"": ""Persons who advocate for freedom of speech are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for freedom of speech should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Aumento de impuestos,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that tax increase is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Tax increase is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
ClonaciÃ³n animal/humana,a favor,"{
  ""character attack premise"": ""Persons who advocate for animal/human cloning are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal/human cloning should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
EnergÃ­a nuclear,a favor,"{
  ""character attack premise"": ""Persons who advocate for nuclear energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for nuclear energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Uso de redes sociales en lÃ­nea,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for use of online social networks should not be accepted.""
}"
